Order,Symbol,Name,EPS Rating,RS Rating,Industry Name,ROE,P/E,EPS Due Date,Sales % Chg Lst Qtr,EPS % Chg Last Qtr,EPS % Chg 1 Q Ago,EPS % Chg 2 Q Ago,Funds % Increase,Market Cap (mil),Comp Rating,A/D Rating,SMR Rating,Ind Group Rank,Ind Group RS
1,A,Agilent Technologies,69,51,Medical-Research Eqp/Svc,28.9,27,11/25/2024,-6,-8,-4,-6,-1.1,40343.6,57,B-,B,145,D+
2,AA,Alcoa,81,93,Mining-Metal Ores,-8.7,-,1/15/2025,12,-,-,-,-1.9,11051.8,82,B,D,132,C-
3,AAGIY,AIA Group ADR,98,54,Insurance-Diversified,9.5,18,11/27/2024,13,58,58,0,-4.5,97217.1,-,C-,-,90,B-
4,AAL,American Airlines Group,12,72,Transportation-Airline,-,10,1/23/2025,1,-21,-43,-,-22,8667.5,50,A-,-,29,A
5,AAM,AA Mission Acqn Cl A,4,35,Finance-Blank Check,-,-,-,-,-,-,-,-,441.9,20,-,-,153,D+
6,AAOI,Applied Optoelectronics,9,96,Telecom-Fiber Optics,-6.7,-,11/7/2024,4,-,-,-,16.9,676.4,60,A-,D,6,A+
7,AAON,AAON,89,94,Bldg-A/C & Heating Prds,27.7,51,11/7/2024,10,22,-7,19,6.5,9156.1,94,B,A,48,A-
8,AAP,Advance Auto Parts,12,5,Retail/Whlsle-Auto Parts,1.2,-,11/14/2024,0,-43,-17,-,-5.8,2277.2,9,C-,D,150,D+
9,AAPL,Apple,90,74,Telecom-Consumer Prods,174.6,33,1/30/2025,6,12,11,1,-1.5,3377630.6,90,D-,A,21,A
10,AAT,American Assets Trust,80,81,Finance-Property REIT,5.4,-,2/11/2025,10,20,2,8,-1,1663.8,88,B+,B,67,B
11,AB,AllianceBernstein,81,72,Finance-Investment Mgmt,14.6,12,2/6/2025,4,18,16,11,0,4139.2,86,B-,B,36,A-
12,ABBNY,ABB ADR,88,86,Electrical-Power/Equipmt,28.8,27,1/30/2025,2,6,20,-13,2.2,106040.2,-,C+,-,59,B+
13,ABBV,AbbVie,55,80,Medical-Ethical Drugs,143.2,19,1/29/2025,4,2,-9,-6,0.3,356236.1,81,A-,A,73,B
14,ABCB,Ameris Bancorp,87,86,Banks-Southeast,8.3,13,1/23/2025,5,19,29,28,-0.4,4321.5,92,B,B,30,A
15,ABCL,AbCellera Biologics,16,10,Medical-Biomed/Biotech,-12.3,-,2/25/2025,-1,-,-,-,-6.6,801.5,12,B-,E,34,A-
16,ABEO,Abeona Therapeutics,22,90,Medical-Biomed/Biotech,-265.7,-,11/11/2024,-,-,-,-,-4.8,269,57,B-,E,34,A-
17,ABEV,Ambev ADR,36,19,Beverages-Alcoholic,19.4,12,2/27/2025,0,-20,0,0,-2.7,34982,28,B,B,180,D-
18,ABG,Asbury Automotive,62,62,Retail/Whlsle-Automobile,22.2,9,2/5/2025,16,-22,-28,-14,-2.9,4740.8,71,B-,B,57,B+
19,ABM,ABM Industries,86,81,Bldg-Maintenance & Svc,13.2,15,12/18/2024,3,19,-3,9,2.6,3422.1,82,B-,C,47,A-
20,ABNB,Airbnb,40,35,Leisure-Travel Booking,41.2,31,11/7/2024,11,-12,128,58,-1.9,88428.5,61,B-,B,17,A
21,ABR,Arbor Realty Trust,40,70,Finance-Mortgage REIT,12.3,-,2/14/2025,-13,-22,-21,-24,-1.5,2816.9,49,C+,C,149,D+
22,ABSI,Absci,43,90,Medical-Generic Drugs,-49.1,-,11/12/2024,-62,-,-,-,38.6,459.9,42,C+,E,136,C-
23,ABT,Abbott Laboratories,70,62,Medical-Diversified,20.7,26,1/22/2025,5,6,6,-5,-0.7,204197.4,68,B,A,160,D
24,ABUS,Arbutus Biopharma,17,93,Medical-Biomed/Biotech,-60,-,11/6/2024,-63,-,-,-,10.2,747.6,54,C+,E,34,A-
25,ACA,Arcosa,89,86,Bldg-Constr Prds/Misc,7,31,2/19/2025,8,25,20,-31,-2.5,4812.4,86,B-,B,105,C+
26,ACAD,ACADIA Pharmaceuticals,81,9,Medical-Biomed/Biotech,-14.7,83,11/6/2024,46,1900,-,-,-5.1,2488.1,47,D+,C,34,A-
27,ACB,Aurora Cannabis,74,74,Consumer Prod-Specialty,-9.8,-,11/6/2024,12,-,-,-,-4.9,334,59,B+,D,184,E
28,ACCD,Accolade,41,5,Medical-Managed Care,-21.7,-,1/13/2025,10,-,-,-,-17.4,258.5,8,D,D,178,D-
29,ACCO,ACCO Brands,41,74,Office Supplies Mfg,13.2,6,2/18/2025,-6,-4,-3,-67,-4.4,556.6,51,B+,C,177,D-
30,ACDC,ProFrac Holding Cl A,3,18,Oil&Gas-Field Services,-729.1,-,3/25/2025,0,-,-,-98,-5.8,1076.2,6,B,E,163,D
31,ACGL,Arch Capital Group,88,46,Insurance-Prop/Cas/Titl,20.7,10,2/18/2025,42,-14,34,42,1.2,36289.5,73,D-,B,82,B-
32,ACHC,Acadia Healthcare,74,5,Medical-Outpnt/Hm Care,11.3,12,2/27/2025,9,0,-1,12,-5.1,3947.8,26,E,B,117,C
33,ACHR,Archer Aviation,45,10,Aerospace/Defense,-106.4,-,11/7/2024,-,-,-,-,-0.5,1155.5,26,C,-,43,A-
34,ACI,Albertsons,51,17,Retail-Super/Mini Mkts,77.7,7,1/14/2025,1,-19,-29,-32,-2,10746.9,38,C+,B,87,B-
35,ACIC,Amer Coastal Insurance,14,86,Insurance-Prop/Cas/Titl,-,8,11/6/2024,-7,-20,-33,1750,16.8,617.7,51,B,D,82,B-
36,ACIW,ACI Worldwide,94,94,Computer Sftwr-Financial,16.1,22,11/7/2024,16,213,-,27,7.5,5355.3,98,B,A,7,A+
37,ACLS,Axcelis Technologies,86,9,Elec-Semiconductor Equip,32.2,12,11/6/2024,-6,-17,10,26,-3.5,2788.4,29,D-,B,189,E
38,ACLX,Arcellx,29,96,Medical-Biomed/Biotech,-20.5,-,11/11/2024,91,-,-,-,5,4683.1,86,A+,D,34,A-
39,ACM,AECOM,95,84,Bldg-Heavy Construction,22.2,26,11/18/2024,13,23,13,25,0.7,14735.2,98,B+,B,9,A+
40,ACMR,ACM Research Cl A,98,49,Elec-Semiconductor Equip,14.9,9,11/7/2024,40,15,247,126,-10.8,1135.7,62,C-,A,189,E
41,ACN,Accenture Cl A,74,49,Computer-Tech Services,28.7,29,12/19/2024,3,3,-2,3,-2,248930.4,63,C,B,95,B-
42,ACP,abrdn Incm Credit Strat,0,31,Finance-Publ Inv Fd-Bond,-,-,-,-,-5,-5,-10,266.7,809.3,-,E,-,148,D+
43,ACRE,Ares Commercial Real Est,4,13,Finance-Mortgage REIT,8.5,-,11/7/2024,-33,-,-,-55,-5,344.6,2,E,D,149,D+
44,ACRS,Aclaris Therapeutics,55,94,Medical-Generic Drugs,-50.2,-,11/6/2024,48,-,-,-,-31,158.4,65,A,D,136,C-
